,Unnamed: 0,Text,Sent,Vader_Sent
28,28,"Great game Perfect little word game that you can play for a few minutes, or a few hours.",Positive,Positive
29,29,This app is supper  cool Loved it,Positive,Positive
30,30,I love this game it's great I finished all levels 180 in 3 stars  and looney cards plz. Finsh some levels with updat soon to i can play again am waiting ... Thank you ,Positive,Positive
31,31,Great time waster I've used this app mainly on road trips with friends. Its great if your ever stuck with nothing to do with a few people. Everyone seems to enjoy it.,Positive,Positive
32,32,Christian Emojis Fantastic.  3D emojis. I like I them alot. Thanks.,Positive,Positive
33,33,Yaaaaaay I can play Crash Bandicoot....Enough reason for 5 stars,Positive,Neutral
34,34,"Brilliant I think coin dozer is absolutely necessary for children, amazing, but it would let u down if u lost a massive coin But all together its awesome",Positive,Positive
35,35,Well worth it In my first week home with my newborn this app has really helped me kee track of feedings and diapers,Positive,Positive
36,36,Hussain Continue your work man,Positive,Neutral
37,37,Ausume,Positive,Neutral
38,38,Soooo addictive Play against someone and tryen have them beat your score and go back and forth and restart when you choose its sooooo fun your just try to beat your own score as much as you can. addictive,Positive,Positive
39,39,Great app. I use the Yo Windows on my laptop too. I would not use any other. I have tried others but nothing beats YO WINDOOWS.,Positive,Positive
40,40,LOVE it The rims and the color of the cars and the lemozen car OMG can't help it I love love love.love love love love it best griving game I ever played,Positive,Negative
41,41,Samsung galaxy to 10.1 So cool if you are an avid  boardgames like me. Game itself is very immersive and soundtrack is a nice touch too.,Positive,Positive
42,42,My rating This game is so the best game ever no ads pop out and no more short ads videos or whatever so happoy,Positive,Positive
43,43,FUN FUN FUN Ok this game is so fun but it gets so boring but its so fun if your like 7 8 or 9 years old this is the perfect game for yall 10 11 and 12 don't get this game serisly,Positive,Positive
44,44,"I completed the entire game I finished all the levels in the game. Ericus mountains, Red Rock Valley and Lotus Point. It was really fun indeed.",Positive,Positive
45,45,"Great, satisfying, arcade racing experience.... 5 Title says it all...just plain'ole'fun.... Thanks for the amazing racing series..  Patiently awaiting RR4...5...6.... Haha...keeepm coming",Positive,Positive
46,46,Not so bad Sometimes teathering hotspot won't get established n smetimes it won't gt connected to required one n also can't change the storage location,Positive,Positive
47,47,U U,Positive,Neutral
48,48,Just try it Was never a fan of slots or pokie machines but this... This is the most enjoyable app I've downloaded,Positive,Positive
49,49,". . . Love this game. Things are not expensive Just enough to train everything full. Not hard to gain diamonds just go forward n u can have them  almost completed, few levels more then the aliens are destroyed for good ",Positive,Positive
50,50,Amazing I like how you don't just go and eat you have to use your mass wisely or else you will be smaller than the one your chasing. Very creative.,Positive,Positive
51,51,"Great app So far I have not found a better app to spend money on. The WW2 is out of this world, I know there is a ton of guns but would love to see a few more. Thanks for making these apps.",Positive,Positive
52,52,Colin mc cray rally I played this game on my dad PC and its as good then as it was now I bought for my tablet can't wait to race one more,Positive,Positive
53,53,Great Great game play for hours with frends,Positive,Positive
54,54,Loved it too much,Positive,Positive
55,55,This new game type This new game type is amazing Keep making more Thanks you,Positive,Positive
56,56,"Brilliant design Clearly, a lot of thought went into making this game a perfect balance between challenging, fun and replayable. Belongs in the same category as Tetris good enough to launch a thousand clones.",Positive,Positive
57,57,The fiviest of stars. By that title you can tell I'm a 12 year old which means I have a lot of time to spare. This excites me. THANK YOU SQUARE ENIX,Positive,Positive
58,58,Great App Very handy for following up my favourite teams' performance and useful for betting enthusiasts,Positive,Positive
59,59,"Love it, but HD photos are not automatic Used the pro version on apple for ages, loved it so when I got an Android I wanted to get it again. Note that you need to change your settings to get HD output.",Positive,Positive
60,60,Great app.. I would  add amount  of wins it takes to move percentage up. And chance  to play up to four players just like real  game,Positive,Positive
61,61,Good Love the game preachy good,Positive,Positive
62,62,Easy and accurate So far it's worked every time I used it.  Not a lot of bells and whistles to get in the way.  Nice and neat.,Positive,Positive
63,63,A truly awsome game This is by far the best slot game available on the google play store. I highly recommend it any problems ive ever encountered  has been resolved with in hours.Thanks for the great support and especially to Anita.Your Awsome,Positive,Positive
64,64,Doraemon music pad,Positive,Neutral
65,65,Game I played this game so long u couldn't keep time. It is so fun but I had trouble on time machine it's cool though. I passed lv.1lv.8 I want to get full version but too much work also one tap you can't stop playing,Positive,Positive
66,66,Awesome Love it so  cool P,Positive,Positive
67,67,Nice speed and easy to use Thanks to xender team for concern happy to see password... sending or receiving...but better will be that prompt for which device is going to join group...,Positive,Positive
68,68,"Perfect game  Smooth movement speed.. Nice Dungeon map, nice chatacter design and good story line. Thx to hearing my comment before about auto mode.. Know i'm playing this game very enjoyed  Success for Brave Trials v",Positive,Positive
69,69,Awesome My almost three year old is playing like a champ. Only downside is she asks for monkey everywhere,Positive,Positive
70,70,   ,Positive,Neutral
71,71,Nice App My little daughter like it very much,Positive,Positive
72,72,Awesome,Positive,Positive
73,73,Great this is such a excellent fantastic super fantastic wonderful superb game,Positive,Positive
74,74,Kandra,Positive,Neutral
75,75,"Good One piece nya kemana  jgn dihilangkan dong min , plis one piece dibalekan, tolong min",Positive,Positive
76,76,Princess Tailor Boutique I loved this game you got to chose different patterns.,Positive,Positive
77,77,Loved it  I love this game plzz edit new song in it,Positive,Positive
78,78,Love the app My 4 year old loves this I was curious how do We download purchased coloring books on her new device.,Positive,Positive
79,79,Tictactoe Best brain exercise I've played yet,Positive,Positive
80,80,A very nice application. It is a good application to regularly monitor one's blood pressure,Positive,Positive
81,81,Go Lube out,Positive,Neutral
82,82,Love it My son has autism and loves to learn his shapes,Positive,Positive
83,83,My favorite game better than any thing Else,Positive,Positive
84,84,Great app Needs tick box to enable video recording on startup and 720P1080P video recording options.,Positive,Positive
85,85,". Really very well made game Wondering why the rating is so low. Download took ages, but I didn't experience any crashes so far.",Positive,Neutral
86,86,Nice but need improvement,Positive,Positive
87,87,Helped alot I have an utraclassic my speedometer went out and I needed to keep track of my speed and mileage I found this app and it really helped me as I traveled from PA to Az thank you,Positive,Positive
88,88,So good When it hit the wall it turn back and explode i was laughing so hard i almost break my funny bone,Positive,Positive
89,89,Good dancing game,Positive,Positive
90,90,"Most configurable audio  New UI. The new UI is a vast improvement. It's still a little quirky, but you get used to it quickly. Very configurable and great sound. The developer is very responsive.",Positive,Positive
91,91,"Great for comics I think the newest updates fixed the issues the smart lists update introduced. Excellent, really like the new lists and sorting.",Positive,Positive
92,92,"Does what it's supposed to do, tell me if I'm properly rooted or not. Was using the free version forever but decided to buy the pro version to support the developer.",Positive,Positive
93,93,Awwwwsome This app is freaken amazing good work great graphics.......just an.opinion you should add the F2000 or a gun related to the G36c it would be awesome to see those weapons in weaphone action,Positive,Positive
94,94,Great Game I love it I'm hooked got to level 27 in two days but I can't get past it. Soooooo hard hahah. This is so worth 3 dollars im going to look at similar games now....,Positive,Positive
95,95,"Good for those learning Japanese. Its good practice for those that want increased Kanji skills, and also no furigana for most of the series. Anyways, good selection of manga as long as you are able to read Japanese. Stop complaining about no English.",Positive,Positive
96,96,Belissiomo Ho piaciatto,Positive,Neutral
97,97,Dr Panda's Home It is a great game and very fun,Positive,Positive
98,98,"Great UI, even better routing. This app knows London like no other, and the striker busting mode works very well.",Positive,Positive
99,99,Omg This works guys ir said words,Positive,Neutral
100,100,Nightingale Beautiful,Positive,Positive
101,101,"Just on thing pls read I dunno what the heck it goin  on but I'm at level 7 and where the heck is my first dog I dunno that ether, it won't let me have my new pack member because it thinks I'm  not touching it pls fix this glitch Pls",Positive,Positive
102,102,Absolutely fantastic.  Love playing this game.  Play it every night,Positive,Positive
103,103,Love it But i want to Have a larger map And logging equipment,Positive,Positive
104,104,Is one of the best games I have played Yup,Positive,Positive
105,105,I love it Your the apple to my pie and the straw to my berry your  the smoke to my high and your the one I want to marry,Positive,Positive
106,106,Awesome It's more than real,Positive,Positive
107,107,Jojo Kpjj,Positive,Neutral
108,108,"Awesome fighting game ever I love dis game, but hate downloading patches after defeating every masters. Other dan that its 5 star",Positive,Negative
109,109,Is great. I love this game with a passion of 100 burning dwarf stars. Its a fun game and it helps my mind open up to puzzles a small bit more.,Positive,Positive
110,110,Fantastic Great for caching,Positive,Positive
111,111,Classic App. I used to read this stories at night.  Last part is really good regaeding charactor.,Positive,Positive
112,112,"Dsire Nyc app.. Find ol d hidden things, escape.. Just simple.. Lots of fun.. Gr8 app for those who lyks adventurous things.. Who loves to find things... Play it.. Lyk it.. Rate it..",Positive,Positive
113,113,"Good, locked myself out at first but like it now",Positive,Positive
114,114,Good N best games.....,Positive,Positive
115,115,helps me remember,Positive,Positive
116,116,very nice cool game,Positive,Positive
117,117,It's awesome It's kool its bringing hard but easy guesses in one game,Positive,Positive
118,118,I love this game,Positive,Positive
119,119,I don't know what number 26 is,Positive,Neutral
120,120,Very good ,Positive,Positive
121,121,Adds Always adds. Otherwise the best timepass.,Positive,Positive
122,122,Finally a game I will play on my phone Totally awesome. Love it. Loved playing it on the 360 and love this just as much. Thank you.,Positive,Positive
123,123,,Positive,Neutral
124,124,Very addictive I like the new towers they have. Well balanced.,Positive,Positive
125,125,"Gin Rummy Great game, great animation,Been playing more than a year...never a problem ",Positive,Positive
126,126,Love this game I love this game it is so fun and great to play when you are bored or need something to do i recommend it,Positive,Positive
127,127,Nice Nice,Positive,Positive
128,128,"Autism tool I bought this app as recommended by my autistic 2 yr olds speech therapist.  Its fantastic Had issues at first, but after uninstalling and redoing, fixed the issue.",Positive,Positive
129,129,WOW What makes this game so good is on the harder levels strategy will only get you so far. Luck is a major factor. Ive been playing for almost a year now and have yet to beat the hardest level. I hope she makes more games.,Positive,Positive
130,130,"A dream game that I wanted on phone Fixed all nice great job is must to purchase, must purchase icewind dale as well 100 support beamdog dnd fan please make temple of elemental evil as well",Positive,Positive
131,131,Lovely  site,Positive,Positive
132,132,Great app Works well when you have uber issued iphone. Referral gt SZUMH lt New drivers recieve 300 new riders recive 25 credit. Thanks Uber.,Positive,Positive
133,133,Perfection,Positive,Positive
134,134,Really nicely executed Great puzzle and fab interface,Positive,Positive
135,135,Great game,Positive,Positive
136,136,Love it It's literally the only app that I've found for my rooted Boost Mobile LG Tribute phone that gets passed the tether block Totally worth the few bucks. Keep up the good work Fobio,Positive,Positive
137,137,The best so far I've tried most of the other android comic viewers and although this one is basic in many ways that is also its best feature.  The infinite scroll through pages makes this very easy to control.,Positive,Positive
138,138,Awesome A wide variety of games to choose from. I found traditional favorites and new to me. The rules came in handy to learn new or refamiliarize. Inexpensive hours of fun.,Positive,Positive
139,139,Great Use it daily for a dash camera on my G35. Works great Especially if one were to be in an accident Love that it works with my OBDII sensor Totally worth the 5,Positive,Positive
140,140,Love this game Best zombie game I've played in a very long time.  Its two great types of games put into one.  Driving and shooting doesn't get better than that,Positive,Positive
141,141,Great Wonderful,Positive,Positive
142,142,Muy Lindo exelente app A Mi Beba le encanta la gallinita   pintadita Ella sent dibierte por ESO me gusta mucho tan bien,Positive,Neutral
143,143,Great App I love everything about this app and haven't experienced any problems.,Positive,Positive
144,144,Well since it helps with if not all singup stuff I'm rating this 5 stars.,Positive,Positive
145,145,Useful game ... It only need a worldcup  MUMH No idea,Positive,Neutral
146,146,Turk alot is so fun always wanted to meet Nikki,Positive,Positive
147,147,Fun Love it I'm addicted. So easy to play in a short period of time,Positive,Positive
148,148,Great app Week done mate.,Positive,Positive
149,149,"Nice companion on my run It would be cool if the distance and time showed up on the phone's lock screen all I see is that it is running, but no data, but other than that, its been great to have as I'm getting back into shape. Thanks.",Positive,Positive
150,150,Addictive Love this game.   I am hopelessly addicted.,Positive,Neutral
151,151,Works perfect again Thanks,Positive,Positive
152,152,Panchtantra in Hindi very usefull app,Positive,Neutral
153,153,Great. Cant see no more than 4 mangas in vol. 29 an only 5 in vol. 30. I like the little icon at the end of each vol. Touch it and it will move,Positive,Positive
154,154,"PIN BALL IS GREAT, I LOVE IT.... THANKS FOR BRINGING IT BACKMAY FATHER JESUS BLESS YOUALL....PEACELOVE.. LARRY CRAIG PORTER FLUTEMAN  GOD BLESS",Positive,Positive
155,155,"Awesome When I can't play my favorite cooperative card game, this awesome port is always nearby. Love it",Positive,Positive
156,156,Great,Positive,Positive
157,157,"Awesome Why can't the stock camera be this awesome, after playing with this for 10 mins delete other camera apps and replaced stock icon with this one. Update even after 3 years I still freaking love this app.",Positive,Positive
158,158,My grandchild Nice but not free,Positive,Negative
159,159,Knowledge gainer app,Positive,Neutral
160,160,THA BEST BEST BEST BEST GAME EVER I love it halris I know I spelled it wrong the only thing is the errow part it won't let me do it BUT ITS STILL A GOOD GAME,Positive,Positive
161,161,"Very Nice app, works good, looks good",Positive,Positive
162,162,Great antivirus app My phone gets overheat due to autostart app. And it consumes power very quickly. Now this app trace and kill. Great app so far.,Positive,Positive
163,163,Fly game This is so fly ill get it a rate of 5 it so good,Positive,Neutral
164,164,Great app,Positive,Positive
165,165,Wonderful game. An awesome buy. Loved every second of this game. Great for 3,Positive,Positive
166,166,"A lifesaver if you ever need to reset your phone. However,  does not automatically backup bookmarks, so you have to periodically back them up and  if desired  upload to cloud.",Positive,Positive
167,167,Fixed on Lollipop the exit app function still doesn't work from the notification pull down panel on my Note 3  with Lollipop.,Positive,Neutral
168,168,Awesome Great application really enjoy,Positive,Positive
169,169,Love the app Always comes in handy. Never any problems.,Positive,Positive
170,170,Best app ever I luv this app so much,Positive,Positive
171,171,Rummy Very nice apps,Positive,Positive
172,172,Challenging... Sometimes frustrating in a good way addictive,Positive,Neutral
173,173,1010 worth it. I bought this game out of a whim. I really enjoy its hilarious and a great game with lots of replay ability.,Positive,Positive
174,174,Awesome It works,Positive,Positive
175,175,It's cool Nice. It is stupid but it's entertaining and fun,Positive,Positive
176,176,Nice and simple Easy to play l good graphics its a petty that its difficult to evolve without paying for coins...,Positive,Positive
177,177,Its a cool game Its funny when tom faints lol and the dog gets a pail of watter,Positive,Positive
178,178,"Tracks and Drivers Need Knoxville, IA for sure. Chad Simpson and Scott Bloomquist is needed. Need for cautions and possibly victory lane. Also the ability to do heats and mains.",Positive,Positive
179,179,really like it but it keeps dying on my phone so I have to keep uninstalling and redownloading. I guess that helps the download number if people hard to download it again and again,Positive,Positive
180,180,"Great Very fun, no annoying adds or prompts to buy stuff so is great. Very fun",Positive,Positive
181,181,This is ok,Positive,Positive
182,182,This App is awesome I had a small problem and emailed about it and got a response within 30 minutes. This works great and is cheaper than buying a range finder.,Positive,Positive
183,183,Samsung Galaxy 5 Keeps the little grey cells working,Positive,Neutral
184,184,wow keep it up.,Positive,Positive
185,185,"Love it Good game, classic style, good battery life, HOWEVER JUST ONE THING PLEASE ENABLE LANDSCAPE MODE",Positive,Positive
186,186,Joy to play and learn a few songs,Positive,Positive
187,187,"Wow With the moga pro this plays as close to a console game as I've  For those having trouble getting the moga pro to hook up, press the power A button once the game is loading and again at the start screen",Positive,Positive
188,188,Wits at their best I can never match,Positive,Positive
189,189,City helicopter I love this 3d game andi like this game,Positive,Positive
190,190,"Great game,  very addictive.",Positive,Positive
191,191,Great game I just wish that I could not finish it within a couple hours...I also do not like that you have to pay for additional levels..besides that..it's a nice game,Positive,Positive
192,192,Fantastic but i don't  like to buy and i remove it,Positive,Neutral
193,193,I love that game,Positive,Positive
194,194,"The Best Running or Walking App I love this app, it is accurate, idk, just keeps me motivated and on track. I also love the live cheering section, make me wanna push harder.",Positive,Positive
195,195,"Great Easy to understand for children, thanks",Positive,Positive
196,196,"Clever, addicting A nice way to pass the time",Positive,Positive
197,197,Great game Type bones8008 in as your friend request after the tutorial. You and I will both receive some free stuff.,Positive,Positive
198,198,Awesome Love it and say the word c.a.f that means create .artist and  fashionable.,Positive,Positive
199,199,Cool This game is cool but I  because it is better than any other football game I had but I recommend downloading it,Positive,Positive
200,200,About robot If we are dissconnected then robot sell lands on double price without thinking wether it is necessary or not,Positive,Neutral
201,201,"Addicting Can't put it down, want to see how far I can get haha",Positive,Positive
202,202,Janette Thanks ,Positive,Positive
203,203,So cool ,Positive,Positive
204,204,Kids ABC phonics lite I love this app it helps my daughter a lot I just love it,Positive,Positive
205,205,It really good,Positive,Positive
206,206,Awesome,Positive,Positive
207,207,Great Game Love it Played it once can't stop playing it now. So addicting,Positive,Positive
208,208,Awesome This Game is too gud,Positive,Positive
209,209,It is what it is. Its a game thats been on phones for years. Ive always found it to be fun,Positive,Positive
210,210,The coolest. Love this game. Very addictive. Constantly adding new challenges.,Positive,Positive
211,211,Best app in the world But you really should make more play home apps like my play home work and my play home doctor also you should add more clothes for the babies,Positive,Positive
212,212,"Great free fun This game is great. It is fun, easy to use, does not crash. The only drawback is that my 4 year old son runs off with phone all the time Galaxy S2",Positive,Positive
213,213,Great improvements Love it now I asked for a voice over and you got it in I have a YouTube account called Its Haley and this is the editor I use for it Love everything about it now,Positive,Positive
214,214,"great games best seen, fun, challenging.  wish were more mahjong games like these.  GB best to play.",Positive,Positive
215,215,Love this game Great graphics  in this game it  is worth it,Positive,Positive
216,216,I'm amazed that people seem to be having issues with crashes and freezes.  I've had no problems and I absolutely love this game. I have developed some great rivalries against very challenging opponents. Really a lot of fun and addicting,Positive,Positive
217,217,"The most extreme android RPG to date. I think. Must play it now, if you like sky rim and oblivion",Positive,Positive
218,218,Like It It's awesome. It teaches you how to drive. I can't  really say much about it.,Positive,Positive
219,219,Awesome Thrill is gone.,Positive,Positive
220,220,"Awesome App Song suggestions Metallica Fade to Black,  Metallica Welcome Home Sanitarium,  Metallica Nothing else Matters, Metallica One, Metallica The Call of Ktulu, Metallica  The Unforgiven",Positive,Positive
221,221,Please Do a Chris Brown One,Positive,Positive
222,222,Piano I love it so much  I learned how to play twinkle twinkle little star,Positive,Positive
223,223,Great simple game Love this game it is very simple something quick I can do to take time outta of my stressful day,Positive,Positive
224,224,Awesome game.  Gypsy is a tank with tiger claws.,Positive,Positive
225,225,"Y88x To root this device, used kingo ROOT one click from PC. Took me 2  tries to get it right.",Positive,Neutral
226,226,Bloom boom Great game awesome I hope they 'll inhance it,Positive,Positive
227,227, love it ,Positive,Positive
228,228,Clock  weather Hope to see good,Positive,Positive
229,229,Great App Really great app. If you don't have it you need to get it,Positive,Positive
230,230,Loved it Superb.game I have ever played..lots of things in just 14mbs...boss ye to superb hai,Positive,Positive
231,231,"Best TT app Definitely best in market. Graphics, Quality, Animation, Speed, Gameplay, Difficulty, etc. Are all very good and that makes the game very addictive. I love this game a lot.",Positive,Positive
232,232,Duh Of course its easy it says five and UNDER,Positive,Positive
233,233,Cool This game don't have much ads at all it is like your driving a real car love this game so much can't stop playing adictive to me,Positive,Positive
234,234,"Great game Love this game, reminds me of old school games. Love the necromancer the best, fun fun. Keep up the great work guys",Positive,Positive
235,235,This game looks  good  I'll try it,Positive,Positive
236,236,Awesome app I really like the options for different colors. I also like the overall easy setup. Good work guys,Positive,Positive
237,237,Yay works great on the new phone,Positive,Positive
238,238,"PERFECT I love all about this game from the graphic,gameplay,character and more  please keep update the game",Positive,Positive
239,239,Loving this awhsome app Very easy to use app extremely fast loading and just a fantastic application....good job.,Positive,Positive
240,240,Amazing One Of The Best Puzzle Games That I Played This Is Challenges My Head And Makes Me Smarter,Positive,Positive
241,241,"Classy, sleek, and intriguing... Original game mechanics true to its roots and a minimalist visual style make this game worth every penny.",Positive,Positive
242,242,Love this widget.  Is it possible to make a weather app without the clock or have some way to hide the clock.,Positive,Positive
243,243,Why it tries to get root access Since some moment this app tries to get superuser access for something. But why,Positive,Neutral
244,244,I love nicki O. M. G.,Positive,Positive
245,245,Can't get past level 88 Great game I rate it 5 out of 5,Positive,Positive
246,246,Great One of the best games I have ever played,Positive,Positive
247,247,Pandas Loved it,Positive,Positive
248,248,I love this app Mark Crilley does such a good job at drawing and teaches the basic steps of human anatomy. If you are interested in manga then don't hesitate to download this app.,Positive,Positive
249,249,Haunted house reminds me of the game I play at El Dorado. Its fun especially if you get 1st3rd place ha.,Positive,Positive
250,250,Compulsive Enertainment I don't always agree with the choices or invalid word choices but not enough to impact my play.,Positive,Positive
251,251,Very good apps,Positive,Positive
252,252,Really good But... Good But... u should make it where we can carry stuff and make it float That would be great Thanks,Positive,Positive
253,253,Best solitaire game ever  This game rules dudes download it now before they start charging for it,Positive,Positive
254,254,"This is metal. Yeah, it's kinda metal.",Positive,Positive
255,255,I love it but I could give 5 stars if the limit f Spidey Meter s at least 10. But still I love d game a lot.... Getting addict 2 t BT feeling worse while I need 2 wait 4 refilling Spidey.... Please change this,Positive,Positive
256,256,Very helpful,Positive,Positive
257,257,"Great No lag, or other issues people are complaining about on my Note ll. Crisp, vibrant graphics and smooth game play make this cart racer the one to have",Positive,Positive
258,258,You don't have to wait for the coins. Just hit the spin button    It's a fun game.,Positive,Positive
259,259,Grand daughter daughter loves it,Positive,Positive
260,260,Like it  i love it. So cute panda,Positive,Positive
261,261,Wonderfully done Great game and no in app costs or ads kids love it I teach pre k and have 8 grandkids in this age range . Thanks for this fun filled game and great memories we are making,Positive,Positive
262,262,Awesom It the best game ever made,Positive,Positive
263,263,Great app Lots of info. Works just like it should. Can't wait for the app to evolve it only gets better from here.,Positive,Positive
264,264,Love this... Now i connect my mobile without data cablessss,Positive,Positive
265,265,"Best converter but needs widget Absolutely brilliant, simple design. But could really do with a widget for quick conversions ",Positive,Positive
266,266,"Love Love LoVe LOVE user friendly, never crashes.",Positive,Positive
267,267,Looks can be deceiving It looked like it sucked but its pretty good I recommend it. its a call of duty version of clash of clans.,Positive,Positive
268,268,It is the best,Positive,Positive
269,269,PLZ MAKE ANOTHER SIMULATOR Can u plz make a deer simulator Plz It can live in the forest and u can have a heard of 7 or something. Plz make it u make the greatest simulations ever D,Positive,Positive
270,270,crazy creativity where is more clever gaming you can not answer.,Positive,Positive
271,271,"Galinha Pintadinha Meus netos amam a galinha pintadinha EM PORTUGUS. Quero meus 3 dvds , pelos quais paguei, de volta. NO quero em ingls. Eles so brasileiros. Favor devolver TODAS as msicas dos TRS dvds.",Positive,Neutral
272,272,This is a great game For everyone who WANTS maps that's new and released for Call of Duty BLACK OPS 2 ZOMBIES u need to BUY them urself on XBOX 360 XBOX ONE ect. Because this is Call of duty BLACK OPS 1 This is not BLACK OPS 2,Positive,Positive
273,273,Nice Got my PRO back from 9GAG First,Positive,Positive
274,274,Imma try it out This is so awsom,Positive,Neutral
275,275, Very fun game its really good five stars and five hearts as well ,Positive,Positive
276,276,Need full version for android jellybean Great app but can't get the full version on my android bauhn 4.3,Positive,Positive
277,277,Gives a lot of nice features And it has lots to explore with the many mini games and therefor it gives the kids lots to do at the airport plus it covers everything from arriving to departure,Positive,Positive
278,278,"Huge catalogue, high quality, frequent sales, a number of free issues, dedicated and competent customer service, easy to browse even for absolute newbies. This app is just perfect",Positive,Positive
279,279,"Awesome Took my a little researching to find out how to partition my SD card, but once I got it done and tried the free version it worked wonders. I purchased this to support the creator.",Positive,Positive
280,280,"Awesome Pesn to co potebuju, nejsou tam dn zbyten a nepotebn informace.",Positive,Positive
281,281,Bike racing The game is okay but directing the driver is a prblm wtht the arrws,Positive,Negative
282,282,Fun,Positive,Positive
283,283,Works great Had an issue backing up my apps cause no room on internal sd card. Please provide an option to save to external sd card which has heaps of space on my phone.,Positive,Positive
284,284,Very well done. Pretty hilarious. The adds a quite annoying but they have to make money somehow.,Positive,Positive
285,285,X,Positive,Neutral
286,286,"Best solitare game available. Large variety. Easy to use. Descriptions are easy to understand,  and occasionally I will actually win  So far this is the best I've found.",Positive,Positive
287,287,"OMG It's so great and scary It scared the heck out of me I like it but it's too scary Especially the camera that has ghosts in them Thanks for making this prank, scary app",Positive,Negative
288,288,Chan aahe,Positive,Neutral
289,289,Codeword Great game once you figure it out.  I Love It,Positive,Positive
290,290,"Adictive Can't put it away since I installed it, would love some more categories and less politics",Positive,Positive
291,291,I'm having so much fun with this app And it being priced 34p is not over priced,Positive,Positive
292,292,Overall the best monitor camera app It is one of the best app for my foscam camera with many features. Developer consistently update the app which is good in my book. Wish there is an iOS version.,Positive,Positive
293,293,,Positive,Neutral
294,294,AWESOME What a great game. I wish I came up with it. The best game on the Android platform by far.,Positive,Positive
295,295,"very useful to me, ive learned so many new words. truly helps you build up you vocabulary. sad that is kinda pricy but i guess that is what it takes ",Positive,Positive
296,296,I love  it,Positive,Positive
297,297,Osm... Good,Positive,Positive
298,298,Doesn't seem to work with Lollipop,Positive,Neutral
299,299,Pretty challenging honestly. Great graphics. Nice thought provoking concept,Positive,Positive
300,300,I love this game because I can make any nail polish without any problems but the problem is that when get 2 last figer s they buy full version for your game,Positive,Neutral
301,301,"NEW MODES Great game but...... Classic Campaign as main mode isn't what I would pay five euro for. It would be great if you added Highlight Reels, All Star  Weekend with Slam Dunk Contest and a NBA Full Season. Great game BTW.",Positive,Positive
302,302,Best Game Love this game thank you Rockstar. Just can't believe all the idiot 5 year Olds requesting their money back cause they finished the game. All i can say i is. . . WOW No wonder this world is heading to crap,Positive,Positive
303,303,Dog lover I have a dog,Positive,Positive
304,304,To  Egghead It has come to my attention that you have two logic puzzle apps. Do the two apps contain any of the same puzzles,Positive,Neutral
305,305,Khaliah Sabrina Eichelberger Love it  it was fun  but you will only have7  games to play on it  but you would  need 200 coins to get another,Positive,Positive
306,306,Great Game even though I'm a '03 baby. I got them all More please,Positive,Positive
307,307,Brilliant This taught my nearly 2 year old twinkle twinkle little star,Positive,Positive
308,308,Great work...liked it,Positive,Positive
309,309,a bloody rippa. it was hard to find the time to rate this  because it's so hard to stop playing.  seriously   ,Positive,Negative
310,310,Cool game Great to kill boring,Positive,Neutral
