,Text,Sent
83,My favorite game better than any thing Else,Positive
84,Great app Needs tick box to enable video recording on startup and 720P1080P video recording options.,Positive
85,". Really very well made game Wondering why the rating is so low. Download took ages, but I didn't experience any crashes so far.",Positive
86,Nice but need improvement,Positive
87,Helped alot I have an utraclassic my speedometer went out and I needed to keep track of my speed and mileage I found this app and it really helped me as I traveled from PA to Az thank you,Positive
88,So good When it hit the wall it turn back and explode i was laughing so hard i almost break my funny bone,Positive
89,Good dancing game,Positive
90,"Most configurable audio  New UI. The new UI is a vast improvement. It's still a little quirky, but you get used to it quickly. Very configurable and great sound. The developer is very responsive.",Positive
91,"Great for comics I think the newest updates fixed the issues the smart lists update introduced. Excellent, really like the new lists and sorting.",Positive
92,"Does what it's supposed to do, tell me if I'm properly rooted or not. Was using the free version forever but decided to buy the pro version to support the developer.",Positive
93,Awwwwsome This app is freaken amazing good work great graphics.......just an.opinion you should add the F2000 or a gun related to the G36c it would be awesome to see those weapons in weaphone action,Positive
94,Great Game I love it I'm hooked got to level 27 in two days but I can't get past it. Soooooo hard hahah. This is so worth 3 dollars im going to look at similar games now....,Positive
95,"Good for those learning Japanese. Its good practice for those that want increased Kanji skills, and also no furigana for most of the series. Anyways, good selection of manga as long as you are able to read Japanese. Stop complaining about no English.",Positive
96,Belissiomo Ho piaciatto,Positive
97,Dr Panda's Home It is a great game and very fun,Positive
98,"Great UI, even better routing. This app knows London like no other, and the striker busting mode works very well.",Positive
99,Omg This works guys ir said words,Positive
100,Nightingale Beautiful,Positive
101,"Just on thing pls read I dunno what the heck it goin  on but I'm at level 7 and where the heck is my first dog I dunno that ether, it won't let me have my new pack member because it thinks I'm  not touching it pls fix this glitch Pls",Positive
102,Absolutely fantastic.  Love playing this game.  Play it every night,Positive
103,Love it But i want to Have a larger map And logging equipment,Positive
104,Is one of the best games I have played Yup,Positive
105,I love it Your the apple to my pie and the straw to my berry your  the smoke to my high and your the one I want to marry,Positive
106,Awesome It's more than real,Positive
107,Jojo Kpjj,Positive
108,"Awesome fighting game ever I love dis game, but hate downloading patches after defeating every masters. Other dan that its 5 star",Positive
109,Is great. I love this game with a passion of 100 burning dwarf stars. Its a fun game and it helps my mind open up to puzzles a small bit more.,Positive
110,Fantastic Great for caching,Positive
111,Classic App. I used to read this stories at night.  Last part is really good regaeding charactor.,Positive
112,"Dsire Nyc app.. Find ol d hidden things, escape.. Just simple.. Lots of fun.. Gr8 app for those who lyks adventurous things.. Who loves to find things... Play it.. Lyk it.. Rate it..",Positive
113,"Good, locked myself out at first but like it now",Positive
114,Good N best games.....,Positive
115,helps me remember,Positive
116,very nice cool game,Positive
117,It's awesome It's kool its bringing hard but easy guesses in one game,Positive
118,I love this game,Positive
119,I don't know what number 26 is,Positive
120,Very good ,Positive
121,Adds Always adds. Otherwise the best timepass.,Positive
122,Finally a game I will play on my phone Totally awesome. Love it. Loved playing it on the 360 and love this just as much. Thank you.,Positive
123,,Positive
124,Very addictive I like the new towers they have. Well balanced.,Positive
125,"Gin Rummy Great game, great animation,Been playing more than a year...never a problem ",Positive
126,Love this game I love this game it is so fun and great to play when you are bored or need something to do i recommend it,Positive
127,Nice Nice,Positive
128,"Autism tool I bought this app as recommended by my autistic 2 yr olds speech therapist.  Its fantastic Had issues at first, but after uninstalling and redoing, fixed the issue.",Positive
129,WOW What makes this game so good is on the harder levels strategy will only get you so far. Luck is a major factor. Ive been playing for almost a year now and have yet to beat the hardest level. I hope she makes more games.,Positive
130,"A dream game that I wanted on phone Fixed all nice great job is must to purchase, must purchase icewind dale as well 100 support beamdog dnd fan please make temple of elemental evil as well",Positive
131,Lovely  site,Positive
132,Great app Works well when you have uber issued iphone. Referral gt SZUMH lt New drivers recieve 300 new riders recive 25 credit. Thanks Uber.,Positive
133,Perfection,Positive
134,Really nicely executed Great puzzle and fab interface,Positive
135,Great game,Positive
136,Love it It's literally the only app that I've found for my rooted Boost Mobile LG Tribute phone that gets passed the tether block Totally worth the few bucks. Keep up the good work Fobio,Positive
137,The best so far I've tried most of the other android comic viewers and although this one is basic in many ways that is also its best feature.  The infinite scroll through pages makes this very easy to control.,Positive
138,Awesome A wide variety of games to choose from. I found traditional favorites and new to me. The rules came in handy to learn new or refamiliarize. Inexpensive hours of fun.,Positive
139,Great Use it daily for a dash camera on my G35. Works great Especially if one were to be in an accident Love that it works with my OBDII sensor Totally worth the 5,Positive
140,Love this game Best zombie game I've played in a very long time.  Its two great types of games put into one.  Driving and shooting doesn't get better than that,Positive
141,Great Wonderful,Positive
142,Muy Lindo exelente app A Mi Beba le encanta la gallinita   pintadita Ella sent dibierte por ESO me gusta mucho tan bien,Positive
143,Great App I love everything about this app and haven't experienced any problems.,Positive
144,Well since it helps with if not all singup stuff I'm rating this 5 stars.,Positive
145,Useful game ... It only need a worldcup  MUMH No idea,Positive
146,Turk alot is so fun always wanted to meet Nikki,Positive
147,Fun Love it I'm addicted. So easy to play in a short period of time,Positive
148,Great app Week done mate.,Positive
149,"Nice companion on my run It would be cool if the distance and time showed up on the phone's lock screen all I see is that it is running, but no data, but other than that, its been great to have as I'm getting back into shape. Thanks.",Positive
150,Addictive Love this game.   I am hopelessly addicted.,Positive
151,Works perfect again Thanks,Positive
152,Panchtantra in Hindi very usefull app,Positive
153,Great. Cant see no more than 4 mangas in vol. 29 an only 5 in vol. 30. I like the little icon at the end of each vol. Touch it and it will move,Positive
154,"PIN BALL IS GREAT, I LOVE IT.... THANKS FOR BRINGING IT BACKMAY FATHER JESUS BLESS YOUALL....PEACELOVE.. LARRY CRAIG PORTER FLUTEMAN  GOD BLESS",Positive
155,"Awesome When I can't play my favorite cooperative card game, this awesome port is always nearby. Love it",Positive
156,Great,Positive
157,"Awesome Why can't the stock camera be this awesome, after playing with this for 10 mins delete other camera apps and replaced stock icon with this one. Update even after 3 years I still freaking love this app.",Positive
158,My grandchild Nice but not free,Positive
159,Knowledge gainer app,Positive
160,THA BEST BEST BEST BEST GAME EVER I love it halris I know I spelled it wrong the only thing is the errow part it won't let me do it BUT ITS STILL A GOOD GAME,Positive
161,"Very Nice app, works good, looks good",Positive
162,Great antivirus app My phone gets overheat due to autostart app. And it consumes power very quickly. Now this app trace and kill. Great app so far.,Positive
163,Fly game This is so fly ill get it a rate of 5 it so good,Positive
164,Great app,Positive
165,Wonderful game. An awesome buy. Loved every second of this game. Great for 3,Positive
166,"A lifesaver if you ever need to reset your phone. However,  does not automatically backup bookmarks, so you have to periodically back them up and  if desired  upload to cloud.",Positive
167,Fixed on Lollipop the exit app function still doesn't work from the notification pull down panel on my Note 3  with Lollipop.,Positive
168,Awesome Great application really enjoy,Positive
169,Love the app Always comes in handy. Never any problems.,Positive
170,Best app ever I luv this app so much,Positive
171,Rummy Very nice apps,Positive
172,Challenging... Sometimes frustrating in a good way addictive,Positive
173,1010 worth it. I bought this game out of a whim. I really enjoy its hilarious and a great game with lots of replay ability.,Positive
174,Awesome It works,Positive
175,It's cool Nice. It is stupid but it's entertaining and fun,Positive
176,Nice and simple Easy to play l good graphics its a petty that its difficult to evolve without paying for coins...,Positive
177,Its a cool game Its funny when tom faints lol and the dog gets a pail of watter,Positive
178,"Tracks and Drivers Need Knoxville, IA for sure. Chad Simpson and Scott Bloomquist is needed. Need for cautions and possibly victory lane. Also the ability to do heats and mains.",Positive
179,really like it but it keeps dying on my phone so I have to keep uninstalling and redownloading. I guess that helps the download number if people hard to download it again and again,Positive
180,"Great Very fun, no annoying adds or prompts to buy stuff so is great. Very fun",Positive
181,This is ok,Positive
182,This App is awesome I had a small problem and emailed about it and got a response within 30 minutes. This works great and is cheaper than buying a range finder.,Positive
183,Samsung Galaxy 5 Keeps the little grey cells working,Positive
184,wow keep it up.,Positive
185,"Love it Good game, classic style, good battery life, HOWEVER JUST ONE THING PLEASE ENABLE LANDSCAPE MODE",Positive
186,Joy to play and learn a few songs,Positive
187,"Wow With the moga pro this plays as close to a console game as I've  For those having trouble getting the moga pro to hook up, press the power A button once the game is loading and again at the start screen",Positive
188,Wits at their best I can never match,Positive
189,City helicopter I love this 3d game andi like this game,Positive
190,"Great game,  very addictive.",Positive
191,Great game I just wish that I could not finish it within a couple hours...I also do not like that you have to pay for additional levels..besides that..it's a nice game,Positive
192,Fantastic but i don't  like to buy and i remove it,Positive
193,I love that game,Positive
194,"The Best Running or Walking App I love this app, it is accurate, idk, just keeps me motivated and on track. I also love the live cheering section, make me wanna push harder.",Positive
195,"Great Easy to understand for children, thanks",Positive
196,"Clever, addicting A nice way to pass the time",Positive
197,Great game Type bones8008 in as your friend request after the tutorial. You and I will both receive some free stuff.,Positive
198,Awesome Love it and say the word c.a.f that means create .artist and  fashionable.,Positive
199,Cool This game is cool but I  because it is better than any other football game I had but I recommend downloading it,Positive
200,About robot If we are dissconnected then robot sell lands on double price without thinking wether it is necessary or not,Positive
201,"Addicting Can't put it down, want to see how far I can get haha",Positive
202,Janette Thanks ,Positive
203,So cool ,Positive
204,Kids ABC phonics lite I love this app it helps my daughter a lot I just love it,Positive
205,It really good,Positive
206,Awesome,Positive
207,Great Game Love it Played it once can't stop playing it now. So addicting,Positive
208,Awesome This Game is too gud,Positive
209,It is what it is. Its a game thats been on phones for years. Ive always found it to be fun,Positive
210,The coolest. Love this game. Very addictive. Constantly adding new challenges.,Positive
211,Best app in the world But you really should make more play home apps like my play home work and my play home doctor also you should add more clothes for the babies,Positive
212,"Great free fun This game is great. It is fun, easy to use, does not crash. The only drawback is that my 4 year old son runs off with phone all the time Galaxy S2",Positive
213,Great improvements Love it now I asked for a voice over and you got it in I have a YouTube account called Its Haley and this is the editor I use for it Love everything about it now,Positive
214,"great games best seen, fun, challenging.  wish were more mahjong games like these.  GB best to play.",Positive
215,Love this game Great graphics  in this game it  is worth it,Positive
216,I'm amazed that people seem to be having issues with crashes and freezes.  I've had no problems and I absolutely love this game. I have developed some great rivalries against very challenging opponents. Really a lot of fun and addicting,Positive
217,"The most extreme android RPG to date. I think. Must play it now, if you like sky rim and oblivion",Positive
218,Like It It's awesome. It teaches you how to drive. I can't  really say much about it.,Positive
219,Awesome Thrill is gone.,Positive
220,"Awesome App Song suggestions Metallica Fade to Black,  Metallica Welcome Home Sanitarium,  Metallica Nothing else Matters, Metallica One, Metallica The Call of Ktulu, Metallica  The Unforgiven",Positive
221,Please Do a Chris Brown One,Positive
222,Piano I love it so much  I learned how to play twinkle twinkle little star,Positive
223,Great simple game Love this game it is very simple something quick I can do to take time outta of my stressful day,Positive
224,Awesome game.  Gypsy is a tank with tiger claws.,Positive
225,"Y88x To root this device, used kingo ROOT one click from PC. Took me 2  tries to get it right.",Positive
226,Bloom boom Great game awesome I hope they 'll inhance it,Positive
227, love it ,Positive
228,Clock  weather Hope to see good,Positive
229,Great App Really great app. If you don't have it you need to get it,Positive
230,Loved it Superb.game I have ever played..lots of things in just 14mbs...boss ye to superb hai,Positive
231,"Best TT app Definitely best in market. Graphics, Quality, Animation, Speed, Gameplay, Difficulty, etc. Are all very good and that makes the game very addictive. I love this game a lot.",Positive
232,Duh Of course its easy it says five and UNDER,Positive
233,Cool This game don't have much ads at all it is like your driving a real car love this game so much can't stop playing adictive to me,Positive
234,"Great game Love this game, reminds me of old school games. Love the necromancer the best, fun fun. Keep up the great work guys",Positive
235,This game looks  good  I'll try it,Positive
236,Awesome app I really like the options for different colors. I also like the overall easy setup. Good work guys,Positive
237,Yay works great on the new phone,Positive
238,"PERFECT I love all about this game from the graphic,gameplay,character and more  please keep update the game",Positive
239,Loving this awhsome app Very easy to use app extremely fast loading and just a fantastic application....good job.,Positive
240,Amazing One Of The Best Puzzle Games That I Played This Is Challenges My Head And Makes Me Smarter,Positive
241,"Classy, sleek, and intriguing... Original game mechanics true to its roots and a minimalist visual style make this game worth every penny.",Positive
242,Love this widget.  Is it possible to make a weather app without the clock or have some way to hide the clock.,Positive
243,Why it tries to get root access Since some moment this app tries to get superuser access for something. But why,Positive
244,I love nicki O. M. G.,Positive
245,Can't get past level 88 Great game I rate it 5 out of 5,Positive
246,Great One of the best games I have ever played,Positive
247,Pandas Loved it,Positive
248,I love this app Mark Crilley does such a good job at drawing and teaches the basic steps of human anatomy. If you are interested in manga then don't hesitate to download this app.,Positive
249,Haunted house reminds me of the game I play at El Dorado. Its fun especially if you get 1st3rd place ha.,Positive
250,Compulsive Enertainment I don't always agree with the choices or invalid word choices but not enough to impact my play.,Positive
251,Very good apps,Positive
252,Really good But... Good But... u should make it where we can carry stuff and make it float That would be great Thanks,Positive
253,Best solitaire game ever  This game rules dudes download it now before they start charging for it,Positive
254,"This is metal. Yeah, it's kinda metal.",Positive
255,I love it but I could give 5 stars if the limit f Spidey Meter s at least 10. But still I love d game a lot.... Getting addict 2 t BT feeling worse while I need 2 wait 4 refilling Spidey.... Please change this,Positive
256,Very helpful,Positive
257,"Great No lag, or other issues people are complaining about on my Note ll. Crisp, vibrant graphics and smooth game play make this cart racer the one to have",Positive
258,You don't have to wait for the coins. Just hit the spin button    It's a fun game.,Positive
259,Grand daughter daughter loves it,Positive
260,Like it  i love it. So cute panda,Positive
261,Wonderfully done Great game and no in app costs or ads kids love it I teach pre k and have 8 grandkids in this age range . Thanks for this fun filled game and great memories we are making,Positive
262,Awesom It the best game ever made,Positive
263,Great app Lots of info. Works just like it should. Can't wait for the app to evolve it only gets better from here.,Positive
264,Love this... Now i connect my mobile without data cablessss,Positive
265,"Best converter but needs widget Absolutely brilliant, simple design. But could really do with a widget for quick conversions ",Positive
266,"Love Love LoVe LOVE user friendly, never crashes.",Positive
267,Looks can be deceiving It looked like it sucked but its pretty good I recommend it. its a call of duty version of clash of clans.,Positive
268,It is the best,Positive
269,PLZ MAKE ANOTHER SIMULATOR Can u plz make a deer simulator Plz It can live in the forest and u can have a heard of 7 or something. Plz make it u make the greatest simulations ever D,Positive
270,crazy creativity where is more clever gaming you can not answer.,Positive
271,"Galinha Pintadinha Meus netos amam a galinha pintadinha EM PORTUGUS. Quero meus 3 dvds , pelos quais paguei, de volta. NO quero em ingls. Eles so brasileiros. Favor devolver TODAS as msicas dos TRS dvds.",Positive
272,This is a great game For everyone who WANTS maps that's new and released for Call of Duty BLACK OPS 2 ZOMBIES u need to BUY them urself on XBOX 360 XBOX ONE ect. Because this is Call of duty BLACK OPS 1 This is not BLACK OPS 2,Positive
273,Nice Got my PRO back from 9GAG First,Positive
274,Imma try it out This is so awsom,Positive
275, Very fun game its really good five stars and five hearts as well ,Positive
276,Need full version for android jellybean Great app but can't get the full version on my android bauhn 4.3,Positive
277,Gives a lot of nice features And it has lots to explore with the many mini games and therefor it gives the kids lots to do at the airport plus it covers everything from arriving to departure,Positive
278,"Huge catalogue, high quality, frequent sales, a number of free issues, dedicated and competent customer service, easy to browse even for absolute newbies. This app is just perfect",Positive
279,"Awesome Took my a little researching to find out how to partition my SD card, but once I got it done and tried the free version it worked wonders. I purchased this to support the creator.",Positive
280,"Awesome Pesn to co potebuju, nejsou tam dn zbyten a nepotebn informace.",Positive
281,Bike racing The game is okay but directing the driver is a prblm wtht the arrws,Positive
282,Fun,Positive
283,Works great Had an issue backing up my apps cause no room on internal sd card. Please provide an option to save to external sd card which has heaps of space on my phone.,Positive
284,Very well done. Pretty hilarious. The adds a quite annoying but they have to make money somehow.,Positive
285,X,Positive
286,"Best solitare game available. Large variety. Easy to use. Descriptions are easy to understand,  and occasionally I will actually win  So far this is the best I've found.",Positive
287,"OMG It's so great and scary It scared the heck out of me I like it but it's too scary Especially the camera that has ghosts in them Thanks for making this prank, scary app",Positive
288,Chan aahe,Positive
289,Codeword Great game once you figure it out.  I Love It,Positive
290,"Adictive Can't put it away since I installed it, would love some more categories and less politics",Positive
291,I'm having so much fun with this app And it being priced 34p is not over priced,Positive
292,Overall the best monitor camera app It is one of the best app for my foscam camera with many features. Developer consistently update the app which is good in my book. Wish there is an iOS version.,Positive
293,,Positive
294,AWESOME What a great game. I wish I came up with it. The best game on the Android platform by far.,Positive
295,"very useful to me, ive learned so many new words. truly helps you build up you vocabulary. sad that is kinda pricy but i guess that is what it takes ",Positive
296,I love  it,Positive
297,Osm... Good,Positive
298,Doesn't seem to work with Lollipop,Positive
299,Pretty challenging honestly. Great graphics. Nice thought provoking concept,Positive
300,I love this game because I can make any nail polish without any problems but the problem is that when get 2 last figer s they buy full version for your game,Positive
301,"NEW MODES Great game but...... Classic Campaign as main mode isn't what I would pay five euro for. It would be great if you added Highlight Reels, All Star  Weekend with Slam Dunk Contest and a NBA Full Season. Great game BTW.",Positive
302,Best Game Love this game thank you Rockstar. Just can't believe all the idiot 5 year Olds requesting their money back cause they finished the game. All i can say i is. . . WOW No wonder this world is heading to crap,Positive
303,Dog lover I have a dog,Positive
304,To  Egghead It has come to my attention that you have two logic puzzle apps. Do the two apps contain any of the same puzzles,Positive
305,Khaliah Sabrina Eichelberger Love it  it was fun  but you will only have7  games to play on it  but you would  need 200 coins to get another,Positive
306,Great Game even though I'm a '03 baby. I got them all More please,Positive
307,Brilliant This taught my nearly 2 year old twinkle twinkle little star,Positive
308,Great work...liked it,Positive
309,a bloody rippa. it was hard to find the time to rate this  because it's so hard to stop playing.  seriously   ,Positive
310,Cool game Great to kill boring,Positive
311,Samsung galaxy 4 I absolutely LOVE this app Have an amazing life  God bless ,Positive
312,Nice It could be updated with more but it is excellent.,Positive
313,"Must try  I love every bit of it. The modes, the graphics. Just try it and you will rate it 5 too...",Positive
314,"Refreshing mind Best to relax, kill time and to do some mild brain works  55 for the game, graphics and thousands of levels",Positive
315,Works very well.,Positive
316,Love this game,Positive
317,We need the colors app Could you make an app with the colors version my daughter loves this app and the color section on you free app but I can't afford the 35 membership. I will purchase the colors app as soon as it comes available,Positive
318,Awesome game ever...but coins are in euro so I cant understand how to play..please give detailed instructions with example of 1 for that one.thanku,Positive
319,"Awesome I have played through multiple times,  love the time trials too. Online tournaments would be fun.  Game is smooth and stable,  only a couple tiny glitches that don't really affect playability. Great game",Positive
320,Loved it Need to shorten the time for me to say today this is a very fun game on the hard one is hard and medium is medium easy is really easy .,Positive
321,"Fantastic Everything you could want, works flawlessly",Positive
322,Basic Game with simple gaming  no complications My 4 Year son likes playing this game very much.,Positive
323,FABULOUS This app has really helped me improve my vocabulary skills and I've only had it for two weeks. It's very helpful and I'd recommend it for anyone looking to do well on the ACTs.,Positive
324,I love this Best app ever because it works so well more than other apps. I will keep this app forever I promise I will this app forever . I volunteer   minahil  sajjad should play this with me,Positive
325,Awesome Love it,Positive
326,Amazing Thia is an amazing app so much fun and so much to do i highly recommend it,Positive
327,I love I play it every day none stop,Positive
328,Grayson TULEY My beautiful baby boy who is 15 months loves it,Positive
329,Fantasy Football app Dope...ready 4 season,Positive
330,Awesome time pass I just keep sticking with this game as the name reveals it all STICK CRICKET....I love to chase big targets,Positive
331,We love this. Very nice app.,Positive
332,cool somehow this fixed the clock issue on my S6,Positive
333,Awesome Good graphics and lots of fun.,Positive
334,Love it... Absolutely fabulous and useful app Very user friendly...not a waste at all,Positive
335,Why is it not being my avenge  up for example my avenge as been 144 then I bowl 223212190150170144189201.the avenge stead the same. Johnny utah,Positive
336,Aweeeeeeeesome game Not so bad but when we play the game suddenly it will start from the beginning if this is not there this game is the best,Positive
337,Excellent I like it,Positive
338,In love At first its hard to find but you will get all the words in a min to 2 mins,Positive
339,Really Helpful for unknowns Let me salute to the developer for creating such a nice app. For nondelhite....It's a wonderful app to commute from Delhi metro rails,Positive
340,"Great My 2 yr old daughter loves it and it is perfect for her homeschooling. The app works perfectly on my android box and cell. For those who tried to download it and it may not work, maybe try subscribing. The app is free, not the programming.",Positive
341,Awesome It's a fun and addicting word association game. I love the way it makes me think,Positive
342, ,Positive
343,excellent application it moved tones of data and dex from applications that can only be installed in phone's internal memory to my sd card making it possible to download even more applications.,Positive
344,Good Education My baby brother is 5 and he isn't very or sha'll I say was because this app helped him Soooo me and I love Intellijoy apps thank you Soooo please make more educational apps,Positive
345,Love it. I've seen a similar type program used in the show ghost adventurers and it measures changes in the atmosphere and interprets it into words.,Positive
346,Love this game,Positive
347,This game is fun for my little cousin ps. I'm ten years old and it's fun for me,Positive
348,Love it. Please add 18 images,Positive
349,Engaging their imaginations Great app,Positive
350,MLP JUST AMAZING,Positive
351,My god sis My god sis loves it,Positive
352,"Good realistic game App works well,  but it would be good to be able to play a full match in this version",Positive
353,"Addictive A great little game to fill in time, ie waiting for appointments etc.",Positive
354,"Great game,  although I think I enjoyed the simplicity of 10000000 a bit more.  However, I highly recommend both games. Perfect pick up and play type of game. Great time killer",Positive
355,Very good Good good good excellent app good work 9app,Positive
356,"More Layers This is by far,the best free app for sketching I found.I give 5 stars,but one little thing I want And I'm sure others want tooAt least 5 layers.Is really hard to work with only 3 layers.",Positive
357,Plz make the whole song Its so fun but it would be better if  you could play the whole song ,Positive
358,Good game Make it as a multiplayer game but plz don't remove single player option.. Need work more on graphics..but it's a very good game for spending times. Thank u,Positive
359,Wurdle Rocks I looked everywhere for a good word game. Glad I found wurdle,Positive
360,Just Ok  So many items locked,Positive
361,"You'll love it All in all its worth your buck,it's a solid converter with everything you need plus some.i love the compass feature",Positive
